iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.354098,-0.354098,-0.354098,0.000000,0.000000,-0.000000,0.000000,-0.000000,150.000000
1,-0.354924,-0.357677,-0.355808,0.006109,0.006981,-0.000021,-0.000171,-0.001279,150.700000
2,-0.355771,-0.361298,-0.357503,0.012217,0.013963,-0.000085,-0.000686,-0.005117,151.400000
3,-0.356640,-0.364962,-0.359184,0.018326,0.020944,-0.000192,-0.001544,-0.011513,152.100000
4,-0.357530,-0.368667,-0.360852,0.024435,0.027925,-0.000341,-0.002748,-0.020465,152.800000
5,-0.358441,-0.372411,-0.362507,0.030543,0.034907,-0.000533,-0.004300,-0.031971,153.500000
6,-0.359373,-0.376195,-0.364149,0.036652,0.041888,-0.000768,-0.006202,-0.046030,154.200000
7,-0.360327,-0.380016,-0.365779,0.042761,0.048869,-0.001045,-0.008459,-0.062637,154.900000
8,-0.361302,-0.383875,-0.367397,0.048869,0.055851,-0.001365,-0.011073,-0.081791,155.600000
9,-0.362299,-0.387769,-0.369002,0.054978,0.062832,-0.001728,-0.014050,-0.103486,156.300000
10,-0.363316,-0.391698,-0.370597,0.061087,0.069813,-0.002134,-0.017395,-0.127719,157.000000
11,-0.364355,-0.395661,-0.372180,0.067195,0.076794,-0.002582,-0.021114,-0.154484,157.700000
12,-0.365415,-0.399658,-0.373752,0.073304,0.083776,-0.003074,-0.025214,-0.183776,158.400000
13,-0.366496,-0.403686,-0.375314,0.079412,0.090757,-0.003608,-0.029701,-0.215588,159.100000
14,-0.367599,-0.407746,-0.376865,0.085521,0.097738,-0.004185,-0.034583,-0.249914,159.800000
15,-0.368723,-0.411836,-0.378406,0.091630,0.104720,-0.004805,-0.039869,-0.286747,160.500000
16,-0.369868,-0.415956,-0.379937,0.097738,0.111701,-0.005469,-0.045568,-0.326080,161.200000
17,-0.371035,-0.420105,-0.381459,0.103847,0.118682,-0.006175,-0.051690,-0.367902,161.900000
18,-0.372223,-0.424281,-0.382972,0.109956,0.125664,-0.006925,-0.058243,-0.412207,162.600000
19,-0.373432,-0.428484,-0.384476,0.116064,0.132645,-0.007718,-0.065241,-0.458985,163.300000
20,-0.374663,-0.432714,-0.385971,0.122173,0.139626,-0.008554,-0.072692,-0.508225,164.000000
21,-0.375916,-0.436969,-0.387458,0.128282,0.146608,-0.009433,-0.080611,-0.559917,164.700000
22,-0.377190,-0.441248,-0.388936,0.134390,0.153589,-0.010356,-0.089008,-0.614051,165.400000
23,-0.378486,-0.445551,-0.390407,0.140499,0.160570,-0.011323,-0.097899,-0.670614,166.100000
24,-0.379803,-0.449878,-0.391871,0.146608,0.167552,-0.012333,-0.107295,-0.729595,166.800000
25,-0.381143,-0.454226,-0.393327,0.152716,0.174533,-0.013387,-0.117212,-0.790980,167.500000
26,-0.382504,-0.458596,-0.394776,0.158825,0.181514,-0.014484,-0.127664,-0.854757,168.200000
27,-0.383887,-0.462987,-0.396218,0.164934,0.188496,-0.015626,-0.138667,-0.920912,168.900000
28,-0.385293,-0.467398,-0.397654,0.171042,0.195477,-0.016811,-0.150236,-0.989430,169.600000
29,-0.386721,-0.471828,-0.399084,0.177151,0.202458,-0.018041,-0.162390,-1.060297,170.300000
30,-0.388171,-0.476277,-0.400508,0.183260,0.209440,-0.019315,-0.175144,-1.133496,171.000000
31,-0.389643,-0.480743,-0.401926,0.189368,0.216421,-0.020633,-0.188516,-1.209011,171.700000
32,-0.391138,-0.485227,-0.403339,0.195477,0.223402,-0.021995,-0.202525,-1.286827,172.400000
