iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.354098,-0.354098,-0.354098,0.000000,0.000000,-0.000000,0.000000,-0.000000,150.000000
1,-0.354097,-0.354104,-0.354098,0.000021,0.000013,-0.000000,0.000000,-0.000000,150.000411
2,-0.354090,-0.354142,-0.354092,0.000164,0.000103,-0.000000,0.000000,-0.000001,150.003274
3,-0.354070,-0.354243,-0.354078,0.000549,0.000345,-0.000000,0.000003,-0.000006,150.010981
4,-0.354032,-0.354439,-0.354049,0.001290,0.000811,-0.000001,0.000015,-0.000031,150.025804
5,-0.353971,-0.354757,-0.354004,0.002492,0.001566,-0.000002,0.000056,-0.000117,150.049842
6,-0.353881,-0.355224,-0.353937,0.004248,0.002669,-0.000006,0.000164,-0.000340,150.084964
7,-0.353759,-0.355864,-0.353845,0.006638,0.004171,-0.000014,0.000400,-0.000831,150.132768
8,-0.353601,-0.356698,-0.353727,0.009727,0.006112,-0.000030,0.000859,-0.001783,150.194539
9,-0.353406,-0.357744,-0.353580,0.013561,0.008521,-0.000058,0.001669,-0.003466,150.271218
10,-0.353172,-0.359016,-0.353402,0.018169,0.011416,-0.000104,0.002996,-0.006222,150.363380
11,-0.352900,-0.360526,-0.353194,0.023561,0.014804,-0.000174,0.005037,-0.010463,150.471218
12,-0.352590,-0.362281,-0.352954,0.029727,0.018678,-0.000278,0.008017,-0.016656,150.594539
13,-0.352244,-0.364284,-0.352685,0.036638,0.023021,-0.000422,0.012174,-0.025300,150.732768
14,-0.351865,-0.366530,-0.352387,0.044248,0.027802,-0.000615,0.017748,-0.036900,150.884964
15,-0.351457,-0.369013,-0.352062,0.052492,0.032982,-0.000866,0.024961,-0.051927,151.049842
16,-0.351025,-0.371718,-0.351714,0.061290,0.038510,-0.001181,0.034004,-0.070787,151.225804
17,-0.350574,-0.374625,-0.351346,0.070549,0.044327,-0.001565,0.045011,-0.093779,151.410981
18,-0.350110,-0.377707,-0.350963,0.080164,0.050368,-0.002020,0.058051,-0.121068,151.603274
19,-0.349638,-0.380933,-0.350568,0.090021,0.056562,-0.002548,0.073109,-0.152650,151.800411
20,-0.349166,-0.384267,-0.350167,0.100000,0.062832,-0.003145,0.090085,-0.188342,152.000000
21,-0.348698,-0.387666,-0.349765,0.109979,0.069102,-0.003805,0.108785,-0.227770,152.199589
22,-0.348241,-0.391086,-0.349367,0.119836,0.075295,-0.004519,0.128932,-0.270377,152.396726
23,-0.347800,-0.394480,-0.348978,0.129451,0.081336,-0.005275,0.150171,-0.315440,152.589019
24,-0.347381,-0.397803,-0.348602,0.138710,0.087154,-0.006058,0.172088,-0.362103,152.774196
25,-0.346987,-0.401008,-0.348245,0.147508,0.092682,-0.006853,0.194229,-0.409410,152.950158
26,-0.346622,-0.404053,-0.347909,0.155752,0.097862,-0.007643,0.216124,-0.456356,153.115036
27,-0.346289,-0.406898,-0.347599,0.163362,0.102643,-0.008410,0.237307,-0.501939,153.267232
28,-0.345991,-0.409510,-0.347318,0.170273,0.106986,-0.009139,0.257347,-0.545204,153.405461
29,-0.345727,-0.411863,-0.347066,0.176439,0.110860,-0.009815,0.275859,-0.585302,153.528782
30,-0.345498,-0.413937,-0.346846,0.181831,0.114248,-0.010427,0.292533,-0.621522,153.636620
