iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.500882,-0.500882,-0.500882,0.000000,0.000000,-0.000000,0.000000,-0.000000,200.000000
1,-0.501442,-0.499707,-0.500934,-0.003965,-0.004152,-0.000008,-0.000023,-0.000494,199.936567
2,-0.501977,-0.498607,-0.500980,-0.007718,-0.008082,-0.000031,-0.000086,-0.001871,199.876516
3,-0.502457,-0.497639,-0.501018,-0.011056,-0.011578,-0.000064,-0.000177,-0.003840,199.823106
4,-0.502852,-0.496853,-0.501047,-0.013790,-0.014441,-0.000100,-0.000276,-0.005974,199.779363
5,-0.503138,-0.496294,-0.501067,-0.015752,-0.016495,-0.000130,-0.000361,-0.007794,199.747971
6,-0.503291,-0.495996,-0.501077,-0.016802,-0.017595,-0.000148,-0.000410,-0.008868,199.731175
7,-0.503296,-0.495988,-0.501077,-0.016831,-0.017625,-0.000148,-0.000412,-0.008899,199.730705
8,-0.503140,-0.496289,-0.501067,-0.015768,-0.016512,-0.000130,-0.000361,-0.007810,199.747709
9,-0.502822,-0.496913,-0.501045,-0.013580,-0.014221,-0.000097,-0.000268,-0.005793,199.782720
10,-0.502344,-0.497865,-0.501009,-0.010273,-0.010758,-0.000055,-0.000153,-0.003315,199.835631
11,-0.501716,-0.499140,-0.500958,-0.005894,-0.006172,-0.000018,-0.000050,-0.001091,199.905701
12,-0.500956,-0.500725,-0.500889,-0.000526,-0.000551,-0.000000,-0.000000,-0.000009,199.991581
13,-0.500085,-0.502599,-0.500800,0.005710,0.005980,-0.000017,-0.000047,-0.001024,200.091363
14,-0.499130,-0.504728,-0.500690,0.012665,0.013263,-0.000084,-0.000233,-0.005039,200.202645
15,-0.498120,-0.507068,-0.500559,0.020164,0.021115,-0.000213,-0.000592,-0.012771,200.322619
16,-0.497084,-0.509568,-0.500407,0.028011,0.029333,-0.000411,-0.001147,-0.024641,200.448168
17,-0.496052,-0.512164,-0.500239,0.035999,0.037698,-0.000679,-0.001905,-0.040692,200.575979
18,-0.495052,-0.514787,-0.500058,0.043916,0.045989,-0.001010,-0.002855,-0.060546,200.702657
