iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.207238,-0.207238,-0.207238,0,0,0,0,0,100
1,-0.207502,-0.208555,-0.210241,-0.005236,0.006981,0.000018,-0.00032,0.001097,100.5
2,-0.207801,-0.209849,-0.213289,-0.010472,0.013963,0.000073,-0.00128,0.004386,101
3,-0.208135,-0.211122,-0.216381,-0.015708,0.020944,0.000165,-0.00288,0.009868,101.5
4,-0.208504,-0.212373,-0.219515,-0.020944,0.027925,0.000292,-0.005122,0.017541,102
5,-0.208908,-0.213603,-0.22269,-0.02618,0.034907,0.000457,-0.008007,0.027403,102.5
6,-0.209347,-0.214812,-0.225905,-0.031416,0.041888,0.000658,-0.011538,0.039453,103
7,-0.209822,-0.216002,-0.229159,-0.036652,0.048869,0.000896,-0.015716,0.053687,103.5
8,-0.210331,-0.217171,-0.232449,-0.041888,0.055851,0.00117,-0.020544,0.070103,104
9,-0.210875,-0.218321,-0.235776,-0.047124,0.062832,0.001481,-0.026026,0.088697,104.5
10,-0.211455,-0.219452,-0.239137,-0.05236,0.069813,0.001829,-0.032165,0.109465,105
11,-0.21207,-0.220564,-0.242532,-0.057596,0.076794,0.002213,-0.038965,0.132402,105.5
12,-0.21272,-0.221658,-0.24596,-0.062832,0.083776,0.002634,-0.046431,0.157503,106
13,-0.213405,-0.222734,-0.249418,-0.068068,0.090757,0.003092,-0.054568,0.184764,106.5
14,-0.214126,-0.223792,-0.252908,-0.073304,0.097738,0.003587,-0.063381,0.214178,107
15,-0.214882,-0.224833,-0.256426,-0.07854,0.10472,0.004118,-0.072876,0.245738,107.5
16,-0.215673,-0.225857,-0.259973,-0.083776,0.111701,0.004687,-0.083059,0.279438,108
17,-0.2165,-0.226865,-0.263547,-0.089012,0.118682,0.005292,-0.093936,0.31527,108.5
18,-0.217363,-0.227856,-0.267147,-0.094248,0.125664,0.005934,-0.105516,0.353227,109
19,-0.218261,-0.228832,-0.270772,-0.099484,0.132645,0.006613,-0.117804,0.3933,109.5
20,-0.219195,-0.229792,-0.274422,-0.10472,0.139626,0.007329,-0.13081,0.435479,110
21,-0.220165,-0.230737,-0.278095,-0.109956,0.146608,0.008083,-0.144541,0.479757,110.5
