iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.656970,-0.656970,-0.656970,-0.000000,0.000000,0.000000,0.000000,-0.000000,250.000000
1,-0.657243,-0.658399,-0.660199,-0.005236,0.006981,0.000018,-0.000320,0.001097,250.500000
2,-0.657530,-0.659822,-0.663457,-0.010472,0.013963,0.000073,-0.001280,0.004386,251.000000
3,-0.657831,-0.661237,-0.666743,-0.015708,0.020944,0.000165,-0.002880,0.009868,251.500000
4,-0.658146,-0.662646,-0.670057,-0.020944,0.027925,0.000292,-0.005122,0.017541,252.000000
5,-0.658476,-0.664049,-0.673398,-0.026180,0.034907,0.000457,-0.008007,0.027403,252.500000
6,-0.658820,-0.665446,-0.676766,-0.031416,0.041888,0.000658,-0.011538,0.039453,253.000000
7,-0.659179,-0.666836,-0.680161,-0.036652,0.048869,0.000896,-0.015716,0.053687,253.500000
8,-0.659552,-0.668221,-0.683582,-0.041888,0.055851,0.001170,-0.020544,0.070103,254.000000
9,-0.659939,-0.669601,-0.687029,-0.047124,0.062832,0.001481,-0.026026,0.088697,254.500000
10,-0.660342,-0.670974,-0.690502,-0.052360,0.069813,0.001829,-0.032165,0.109465,255.000000
11,-0.660759,-0.672343,-0.694000,-0.057596,0.076794,0.002213,-0.038965,0.132402,255.500000
12,-0.661191,-0.673707,-0.697523,-0.062832,0.083776,0.002634,-0.046431,0.157503,256.000000
13,-0.661638,-0.675065,-0.701070,-0.068068,0.090757,0.003092,-0.054568,0.184764,256.500000
14,-0.662100,-0.676419,-0.704642,-0.073304,0.097738,0.003587,-0.063381,0.214178,257.000000
15,-0.662577,-0.677769,-0.708238,-0.078540,0.104720,0.004118,-0.072876,0.245738,257.500000
16,-0.663069,-0.679114,-0.711857,-0.083776,0.111701,0.004687,-0.083059,0.279438,258.000000
17,-0.663576,-0.680455,-0.715499,-0.089012,0.118682,0.005292,-0.093936,0.315270,258.500000
18,-0.664099,-0.681792,-0.719164,-0.094248,0.125664,0.005934,-0.105516,0.353227,259.000000
19,-0.664637,-0.683125,-0.722851,-0.099484,0.132645,0.006613,-0.117804,0.393300,259.500000
20,-0.665191,-0.684455,-0.726561,-0.104720,0.139626,0.007329,-0.130810,0.435479,260.000000
21,-0.665761,-0.685781,-0.730292,-0.109956,0.146608,0.008083,-0.144541,0.479757,260.500000
22,-0.666346,-0.687104,-0.734044,-0.115192,0.153589,0.008873,-0.159006,0.526123,261.000000
23,-0.666947,-0.688424,-0.737818,-0.120428,0.160570,0.009701,-0.174214,0.574566,261.500000
24,-0.667564,-0.689741,-0.741612,-0.125664,0.167552,0.010566,-0.190175,0.625076,262.000000
25,-0.668197,-0.691056,-0.745426,-0.130900,0.174533,0.011468,-0.206898,0.677641,262.500000
26,-0.668846,-0.692368,-0.749260,-0.136136,0.181514,0.012408,-0.224394,0.732250,263.000000
27,-0.669512,-0.693678,-0.753114,-0.141372,0.188496,0.013386,-0.242673,0.788890,263.500000
28,-0.670194,-0.694986,-0.756986,-0.146608,0.195477,0.014401,-0.261747,0.847549,264.000000
29,-0.670893,-0.696292,-0.760878,-0.151844,0.202458,0.015453,-0.281627,0.908213,264.500000
30,-0.671608,-0.697596,-0.764788,-0.157080,0.209440,0.016543,-0.302324,0.970868,265.000000
31,-0.672340,-0.698899,-0.768715,-0.162316,0.216421,0.017671,-0.323852,1.035501,265.500000
32,-0.673089,-0.700201,-0.772661,-0.167552,0.223402,0.018837,-0.346221,1.102095,266.000000
33,-0.673855,-0.701501,-0.776624,-0.172788,0.230383,0.020041,-0.369447,1.170636,266.500000
34,-0.674639,-0.702801,-0.780603,-0.178024,0.237365,0.021283,-0.393540,1.241108,267.000000
35,-0.675439,-0.704100,-0.784600,-0.183260,0.244346,0.022564,-0.418517,1.313495,267.500000
36,-0.676257,-0.705398,-0.788612,-0.188496,0.251327,0.023882,-0.444389,1.387779,268.000000
37,-0.677093,-0.706697,-0.792640,-0.193732,0.258309,0.025239,-0.471173,1.463943,268.500000
38,-0.677946,-0.707995,-0.796684,-0.198968,0.265290,0.026634,-0.498882,1.541970,269.000000
39,-0.678817,-0.709294,-0.800743,-0.204204,0.272271,0.028068,-0.527531,1.621840,269.500000
40,-0.679706,-0.710592,-0.804816,-0.209440,0.279253,0.029541,-0.557137,1.703534,270.000000
41,-0.680613,-0.711892,-0.808904,-0.214675,0.286234,0.031052,-0.587714,1.787034,270.500000
42,-0.681538,-0.713192,-0.813005,-0.219911,0.293215,0.032602,-0.619278,1.872319,271.000000
43,-0.682482,-0.714493,-0.817121,-0.225147,0.300197,0.034192,-0.651847,1.959368,271.500000
44,-0.683444,-0.715795,-0.821249,-0.230383,0.307178,0.035820,-0.685436,2.048160,272.000000
45,-0.684425,-0.717099,-0.825390,-0.235619,0.314159,0.037488,-0.720063,2.138673,272.500000
46,-0.685425,-0.718405,-0.829544,-0.240855,0.321141,0.039195,-0.755745,2.230885,273.000000
47,-0.686443,-0.719712,-0.833710,-0.246091,0.328122,0.040941,-0.792499,2.324774,273.500000
48,-0.687481,-0.721021,-0.837887,-0.251327,0.335103,0.042728,-0.830344,2.420315,274.000000
49,-0.688538,-0.722333,-0.842076,-0.256563,0.342085,0.044554,-0.869297,2.517486,274.500000
50,-0.689615,-0.723647,-0.846275,-0.261799,0.349066,0.046419,-0.909377,2.616260,275.000000
51,-0.690711,-0.724964,-0.850485,-0.267035,0.356047,0.048325,-0.950603,2.716614,275.500000
52,-0.691826,-0.726284,-0.854706,-0.272271,0.363028,0.050272,-0.992993,2.818522,276.000000
53,-0.692962,-0.727608,-0.858936,-0.277507,0.370010,0.052258,-1.036567,2.921956,276.500000
54,-0.694118,-0.728934,-0.863175,-0.282743,0.376991,0.054285,-1.081343,3.026891,277.000000
55,-0.695293,-0.730265,-0.867424,-0.287979,0.383972,0.056353,-1.127342,3.133299,277.500000
56,-0.696490,-0.731599,-0.871681,-0.293215,0.390954,0.058461,-1.174584,3.241152,278.000000
57,-0.697706,-0.732937,-0.875946,-0.298451,0.397935,0.060610,-1.223088,3.350422,278.500000
58,-0.698943,-0.734280,-0.880219,-0.303687,0.404916,0.062801,-1.272875,3.461079,279.000000
59,-0.700202,-0.735627,-0.884500,-0.308923,0.411898,0.065033,-1.323965,3.573093,279.500000
60,-0.701481,-0.736979,-0.888787,-0.314159,0.418879,0.067306,-1.376380,3.686434,280.000000
61,-0.702781,-0.738337,-0.893082,-0.319395,0.425860,0.069621,-1.430138,3.801072,280.500000
62,-0.704102,-0.739699,-0.897382,-0.324631,0.432842,0.071977,-1.485263,3.916974,281.000000
63,-0.705445,-0.741068,-0.901689,-0.329867,0.439823,0.074376,-1.541775,4.034108,281.500000
64,-0.706809,-0.742442,-0.906001,-0.335103,0.446804,0.076816,-1.599694,4.152441,282.000000
65,-0.708195,-0.743822,-0.910318,-0.340339,0.453786,0.079299,-1.659044,4.271941,282.500000
66,-0.709604,-0.745209,-0.914639,-0.345575,0.460767,0.081825,-1.719844,4.392572,283.000000
67,-0.711034,-0.746602,-0.918965,-0.350811,0.467748,0.084393,-1.782117,4.514300,283.500000
68,-0.712486,-0.748002,-0.923295,-0.356047,0.474730,0.087004,-1.845885,4.637090,284.000000
69,-0.713961,-0.749409,-0.927628,-0.361283,0.481711,0.089658,-1.911169,4.760906,284.500000
70,-0.715458,-0.750824,-0.931965,-0.366519,0.488692,0.092355,-1.977992,4.885711,285.000000
71,-0.716978,-0.752246,-0.936304,-0.371755,0.495674,0.095095,-2.046375,5.011467,285.500000
72,-0.718521,-0.753676,-0.940645,-0.376991,0.502655,0.097880,-2.116340,5.138138,286.000000
73,-0.720086,-0.755115,-0.944988,-0.382227,0.509636,0.100708,-2.187909,5.265684,286.500000
74,-0.721675,-0.756562,-0.949332,-0.387463,0.516617,0.103580,-2.261106,5.394065,287.000000
75,-0.723288,-0.758017,-0.953678,-0.392699,0.523599,0.106496,-2.335950,5.523243,287.500000
76,-0.724923,-0.759482,-0.958024,-0.397935,0.530580,0.109457,-2.412466,5.653176,288.000000
77,-0.726583,-0.760956,-0.962370,-0.403171,0.537561,0.112462,-2.490674,5.783824,288.500000
78,-0.728266,-0.762440,-0.966716,-0.408407,0.544543,0.115513,-2.570597,5.915143,289.000000
79,-0.729973,-0.763934,-0.971061,-0.413643,0.551524,0.118608,-2.652256,6.047092,289.500000
80,-0.731704,-0.765438,-0.975405,-0.418879,0.558505,0.121749,-2.735675,6.179628,290.000000
81,-0.733459,-0.766952,-0.979748,-0.424115,0.565487,0.124935,-2.820874,6.312706,290.500000
82,-0.735238,-0.768477,-0.984088,-0.429351,0.572468,0.128167,-2.907875,6.446281,291.000000
83,-0.737042,-0.770013,-0.988426,-0.434587,0.579449,0.131445,-2.996700,6.580309,291.500000
84,-0.738871,-0.771561,-0.992761,-0.439823,0.586431,0.134769,-3.087371,6.714743,292.000000
